general_type,specific_type,place_id,店名,地址,電話,評分,價位,連結,評價數,緯度,經度
飲料/甜點,冰品,ChIJPQpyvYupQjQR_RhYmpFQnmM,波囍,100台灣台北市中正區羅斯福路三段316巷2號,02 2364 1599,4.3,null,https://maps.google.com/?cid=7178263442365094141,281,25.015879,121.5326641
飲料/甜點,冰品,ChIJmVrVBoupQjQRbT6PhVBBGNc,鴉片粉圓,100台灣台北市中正區羅斯福路四段52巷16弄4號,02 2369 3959,3.8,null,https://maps.google.com/?cid=15499209931689508461,1386,25.0144507,121.5336961
飲料/甜點,冰品,ChIJv61btrmpQjQRCIQFTdbLQ38,墨潮青蛙撞奶,100台灣台北市中正區羅斯福路三段316巷１０號,0971 609 759,3.5,null,https://maps.google.com/?cid=9170397387532108808,32,25.0156409,121.532435
飲料/甜點,冰品,ChIJrbo9uYqpQjQR8iH6LE-19Qo,COMEBUY_台北汀州店,100台灣台北市中正區羅斯福路四段136巷6號,02 2364 9918,4.5,null,https://maps.google.com/?cid=789736661335024114,31,25.012636,121.5355088
飲料/甜點,冰品,ChIJmdQQdoupQjQRXbuKj3Ywky0,墾丁蛋蛋ㄉㄨㄞ奶,100台灣台北市中正區汀州路三段165號,02 2368 5550,4.2,null,https://maps.google.com/?cid=3284021839055731549,947,25.0152995,121.5321294
飲料/甜點,冰品,ChIJz-h4Q1GpQjQR6LHc8buGm28,五桐號Wootea 公館店,100台灣台北市中正區羅斯福路三段316巷5號之1號,02 2363 5655,4.8,null,https://maps.google.com/?cid=8042169701374931432,353,25.0156934,121.5322764
飲料/甜點,冰品,ChIJQdaEkUypQjQReJPpCdabjD0,大學口林老杯,100台灣台北市中正區羅斯福路四段24巷11-1號,0989 430 935,4.8,null,https://maps.google.com/?cid=4435091076644705144,9,25.0151583,121.5326195
飲料/甜點,冰品,ChIJ256qHIupQjQR-DzzG-OGC5Y,小日子商,100台灣台北市中正區羅斯福路四段52巷16弄13號,02 2366 0294,4.2,null,https://maps.google.com/?cid=10811883640417631480,257,25.0143299,121.5338165
飲料/甜點,冰品,ChIJnX29aompQjQR1Mz4z-ccjh4,好想吃冰 かき/日式蔬食 台大公館店（公館美食.公館素食.日式素食）,10648台灣台北市大安區溫州街80號,02 2366 0115,4.3,null,https://maps.google.com/?cid=2201729049782963412,2609,25.0191295,121.5327721
飲料/甜點,冰品,ChIJS9Pk5m-pQjQRDIfh2Zw9AXQ,打勾勾-厚起士飲品專賣店,100台灣台北市中正區羅斯福路三段244巷14號,0934 340 464,4.4,null,https://maps.google.com/?cid=8359030127255979788,103,25.01656740000001,121.530637
飲料/甜點,冰品,ChIJZbOpk-GpQjQRI6hs76n0w0M,春芳號台北公館店,100台灣台北市中正區羅斯福路四段142號,02 2367 5838,4.7,null,https://maps.google.com/?cid=4883015431703275555,125,25.0127782,121.5359219
飲料/甜點,飲料,ChIJrbo9uYqpQjQR8iH6LE-19Qo,COMEBUY_台北汀州店,100台灣台北市中正區羅斯福路四段136巷6號,02 2364 9918,4.5,null,https://maps.google.com/?cid=789736661335024114,31,25.012636,121.5355088
飲料/甜點,飲料,ChIJPQpyvYupQjQR_RhYmpFQnmM,波囍,100台灣台北市中正區羅斯福路三段316巷2號,02 2364 1599,4.3,null,https://maps.google.com/?cid=7178263442365094141,281,25.015879,121.5326641
飲料/甜點,飲料,ChIJ29mNvoqpQjQReJyDJ4e1yfk,迷客夏milkshop 臺北公館店,10091台灣台北市中正區羅斯福路四段132號,02 2368 1890,3.9,null,https://maps.google.com/?cid=17999116977851047032,422,25.01298359999999,121.5357926
飲料/甜點,飲料,ChIJN6jRyYqpQjQRhOJRE7PsNQ0,十杯極致手作茶飲─公館店,100台灣台北市中正區汀州路三段277號,02 2369 0900,4.3,null,https://maps.google.com/?cid=951927150126162564,559,25.0123974,121.5354965
飲料/甜點,飲料,ChIJCahvDoupQjQRFbdDBRrHOsY,COMEBUY_台北公館店,100台灣台北市中正區汀州路三段195號,02 2362 1969,3.3,null,https://maps.google.com/?cid=14283948082730350357,68,25.014584,121.533206
飲料/甜點,飲料,ChIJrcW9oiCqQjQRGDUC1R2jDCg,原典鮮沏茶,106台灣台北市大安區舟山路243號,02 8369 5755,3.9,null,https://maps.google.com/?cid=2885860809760716056,56,25.0154922,121.5369079
飲料/甜點,飲料,ChIJZ1hI14WpQjQRWkCFEnfwUS4,凰上您好 手搖飲 Dear Queen Tea/公館飲料/公館手搖飲/台北飲料/公館珍珠奶茶/公館美食/公館冰品,100台灣台北市中正區汀州路三段174之1號,02 2365 5788,3.8,null,https://maps.google.com/?cid=3337713193060745306,153,25.0132084,121.534665
飲料/甜點,飲料,ChIJZbOpk-GpQjQRI6hs76n0w0M,春芳號台北公館店,100台灣台北市中正區羅斯福路四段142號,02 2367 5838,4.7,null,https://maps.google.com/?cid=4883015431703275555,125,25.0127782,121.5359219
飲料/甜點,飲料,ChIJSS8omoupQjQR7w9gCacg0EY,茶湯會 台北公館店 (台大),100台灣台北市中正區羅斯福路三段286巷18號,02 2367 8227,3.4,null,https://maps.google.com/?cid=5102614279599689711,153,25.015861,121.53236
飲料/甜點,飲料,ChIJS9Pk5m-pQjQRDIfh2Zw9AXQ,打勾勾-厚起士飲品專賣店,100台灣台北市中正區羅斯福路三段244巷14號,0934 340 464,4.4,null,https://maps.google.com/?cid=8359030127255979788,103,25.01656740000001,121.530637
飲料/甜點,飲料,ChIJp1wkXi-pQjQRfu3yyNjKXew,日日裝茶公館台大店,106台灣台北市大安區新生南路三段96-4號,02 2368 8200,4.1,null,https://maps.google.com/?cid=17031992398218194302,191,25.01726439999999,121.5331794
飲料/甜點,飲料,ChIJ256qHIupQjQR-DzzG-OGC5Y,小日子商,100台灣台北市中正區羅斯福路四段52巷16弄13號,02 2366 0294,4.2,null,https://maps.google.com/?cid=10811883640417631480,257,25.0143299,121.5338165
飲料/甜點,飲料,ChIJ1V2JefKpQjQRDyl0SimHxkc,甘蔗の媽媽-台北公館店,"1, No. 130號汀州路三段中正區台北市台灣 100",02 2365 5075,4,null,https://maps.google.com/?cid=5171969833494128911,164,25.013919,121.533745
飲料/甜點,飲料,ChIJmdQQdoupQjQRXbuKj3Ywky0,墾丁蛋蛋ㄉㄨㄞ奶,100台灣台北市中正區汀州路三段165號,02 2368 5550,4.2,null,https://maps.google.com/?cid=3284021839055731549,947,25.0152995,121.5321294
飲料/甜點,飲料,ChIJQVWymYupQjQR9l0jcfyF15I,巴伯Q奶Bubble tea黑糖珍珠牛奶專賣店,100台灣台北市中正區羅斯福路三段316巷4號,0921 903 358,4.2,null,https://maps.google.com/?cid=10581073168806665718,201,25.015818,121.532612
飲料/甜點,飲料,ChIJrbuKz0upQjQR0VqDFHphxTA,老賴茶棧台北公館店,100台灣台北市中正區羅斯福路三段316巷3之1號,02 2368 3184,3.7,null,https://maps.google.com/?cid=3514322261190597329,77,25.0156149,121.5321977
飲料/甜點,飲料,ChIJEat10q-pQjQRrji2jzlzzQE,麻古茶坊台北公館店,100台灣台北市中正區羅斯福路三段316巷5號1樓,02 2367 2307,3.5,null,https://maps.google.com/?cid=129886655325026478,87,25.0156934,121.5322764
飲料/甜點,飲料,ChIJQ_OhEIupQjQRaZOebBWucbE,50嵐 公館店,100台灣台北市中正區汀州路三段116-1號,02 2368 4599,3.2,null,https://maps.google.com/?cid=12786192224121426793,159,25.01417,121.5334272
飲料/甜點,飲料,ChIJGSZSEbmpQjQRaeA4PyFdxRo,龜記茗品-公館店,10090台灣台北市中正區羅斯福路四段24巷13號,02 2366 0667,4.4,null,https://maps.google.com/?cid=1929050412774121577,271,25.0150687,121.5325481
飲料/甜點,飲料,ChIJL2Nx_oupQjQRlWJhhBrhDvE,樂法Le Phare 羅斯福店,106台灣台北市大安區羅斯福路三段283巷6號,02 2367 3110,3.4,null,https://maps.google.com/?cid=17370068316820955797,70,25.0180659,121.531622
火鍋,火鍋,ChIJ366xIcOpQjQRYmVdYm8CGuU,東雛菊-風味鍋物,100台灣台北市中正區汀州路三段127號,02 2368 2127,4.5,null,https://maps.google.com/?cid=16508510061494887778,632,25.0163858,121.530596
火鍋,火鍋,ChIJoQttyYqpQjQRrPcR8IE0dv0,鍋in百元風味火鍋,100台灣台北市中正區汀州路三段196號,02 2367 0672,3.8,null,https://maps.google.com/?cid=18263843071530760108,2264,25.0123615,121.5352812
火鍋,火鍋,ChIJycu5coupQjQRl9dmANfpHuw,馬辣頂級麻辣鴛鴦火鍋,100台灣台北市中正區汀州路三段86號,02 2365 7625,4.1,null,https://maps.google.com/?cid=17014293551886292887,3607,25.0146334,121.5326568
火鍋,火鍋,ChIJNWgFu9CpQjQR_h2HPTQDaNc,鼎豐鴛鴦麻辣火鍋,116台灣台北市文山區羅斯福路四段200號,02 2930 8999,4.4,null,https://maps.google.com/?cid=15521659638637862398,518,25.0108466,121.5369224
火鍋,火鍋,ChIJp4DmtIqpQjQRMc1gEd_aAS4,新馬辣經典麻辣鍋-公館店,100台灣台北市中正區汀州路三段295號,02 2364 6215,4.4,null,https://maps.google.com/?cid=3315171452325514545,3528,25.011934,121.535766
火鍋,火鍋,ChIJnShfDYupQjQReJ7ZY2HhzOA,東吉水產超市火鍋-公館店,100台灣台北市中正區汀州路三段92號,02 2362 0330,4.1,null,https://maps.google.com/?cid=16198569768148115064,1585,25.014576,121.532788
火鍋,火鍋,ChIJNd8zTBapQjQRpnuBM8A1Nm4,和牛涮樂日式涮涮鍋-公館店,100台灣台北市中正區汀州路三段92號,02 2362 0330,4.9,null,https://maps.google.com/?cid=7941594092528565158,42,25.014559,121.5327817
火鍋,火鍋,ChIJkVHJ1PWpQjQRuN_c0G1T8qQ,12MINI經典即享鍋-捷運公館店,100台灣台北市中正區羅斯福路三段316巷14號,02 2366 1877,4,null,https://maps.google.com/?cid=11885654097704837048,706,25.0155113,121.5323408
火鍋,火鍋,ChIJV8k7QBGoQjQRqIO19mBwWNY,無鍋不樂,100台灣台北市中正區羅斯福路四段78巷1弄3號,02 2368 1330,4.1,null,https://maps.google.com/?cid=15445218483825378216,218,25.0140624,121.5343411
台式/小吃,水餃,ChIJH_rf5YqpQjQRdh858sDgK8M,玉米妹煎餃,100台灣台北市中正區羅斯福路四段90巷,null,3.2,null,https://maps.google.com/?cid=14063581380696678262,26,25.0138067,121.5347288
台式/小吃,水餃,ChIJQWnpmYupQjQRbOovXFzE1CQ,鮮肉水餃,100台灣台北市中正區羅斯福路三段286巷18號,null,4.2,null,https://maps.google.com/?cid=2653961981390744172,32,25.015861,121.53236
台式/小吃,水餃,ChIJoVQ9-oqpQjQRuuracm_WZtw,陳師傅全麥手工水餃,100台灣台北市中正區羅斯福路四段92號2號樓69攤,02 2364 6534,3.4,null,https://maps.google.com/?cid=15881616910125296314,268,25.0137603,121.5350243
台式/小吃,水餃,ChIJUdix0o-pQjQRTNfqm-IQpFM,豪季水餃專賣店,100台灣台北市中正區汀州路三段143號,02 2367 7955,4,null,https://maps.google.com/?cid=6026960766793078604,152,25.01596589999999,121.5310364
台式/小吃,水餃,ChIJe_MK3oupQjQRnzZoMhH5lqs,八方雲集 (台大店),106台灣台北市大安區羅斯福路三段333巷9號,02 2362 5189,3.5,null,https://maps.google.com/?cid=12364343679247726239,872,25.01754170000001,121.5327972
台式/小吃,水餃,ChIJjde4khmpQjQR2RF_gS7wxDU,台大大滷麵水餃,100台灣台北市中正區文盛里,null,4.3,null,https://maps.google.com/?cid=3874485661977219545,3,25.0159423,121.532451
台式/小吃,水餃,ChIJxb2CKIypQjQReZRS5toPtic,楓苑食坊,100台灣台北市中正區羅斯福路三段210巷10弄1號,02 2367 3391,4.4,null,https://maps.google.com/?cid=2861492046081987705,31,25.0180446,121.5285697
台式/小吃,小吃,ChIJn-PI4IqpQjQR5UdxyijFBJs,蕭家傳統小吃,100台灣台北市中正區羅斯福路四段90巷6號,02 2368 3897,3.4,null,https://maps.google.com/?cid=11170269754771458021,474,25.0136856,121.5345477
台式/小吃,小吃,ChIJYfsXxYqpQjQRZPA4G0w3M0Y,公館小吃店,100台灣台北市中正區羅斯福路四段136巷4-1號,02 2365 8827,3.7,null,https://maps.google.com/?cid=5058447606480957540,51,25.012695,121.5356472
台式/小吃,小吃,ChIJ6ZdQkYupQjQRWrgEjcLMIH0,台南意麵※羊肉乾麵,100台灣台北市中正區羅斯福路三段286巷內號,0976 833 313,3.6,null,https://maps.google.com/?cid=9016431589957351514,108,25.0163082,121.5323201
台式/小吃,小吃,ChIJzVr3l4upQjQRHTNqYkEgR40,藍家割包,100台灣台北市中正區羅斯福路三段316巷8弄3號,02 2368 2060,4,null,https://maps.google.com/?cid=10180140947890385693,3910,25.0157375,121.5325592
台式/小吃,小吃,ChIJpzBnmROpQjQRvWv0MnikG_U,胡饕米粉湯‧黑白切(台大公館店)-銅板小吃 學生美食 便當外送(平價人氣必吃推薦),100台灣台北市中正區羅斯福路三段284巷8號1樓,02 2367 0517,4,null,https://maps.google.com/?cid=17661891199821441981,314,25.016021,121.531859
台式/小吃,小吃,ChIJT0pZeoupQjQRwI-GLzd8anA,阿姨小吃,"號, No. 2思源街中正區台北市台灣 100",02 2362 7136,4,null,https://maps.google.com/?cid=8100423456241651648,67,25.014959,121.5318923
台式/小吃,小吃,ChIJ_fgu74qpQjQRup_fjb1ntWE,祥記號美食小吃,"100台灣台北市中正區羅斯福路四段92號1號攤位, 水源市場樓號 62號",02 2367 0077,3.9,null,https://maps.google.com/?cid=7040647656290361274,466,25.0135434,121.534772
台式/小吃,小吃,ChIJ1bPhwYqpQjQR70q_ZNQB_0Y,泰風味小吃店,100台灣台北市中正區羅斯福路四段108巷2號,02 2364 5750,3.8,null,https://maps.google.com/?cid=5115809713451125487,174,25.0133333,121.5352778
台式/小吃,小吃,ChIJw9DD6IqpQjQRsdFH1jKu9RA,越南小吃,100台灣台北市中正區羅斯福路四段92號,0988 196 233,4.4,null,https://maps.google.com/?cid=1222074407267586481,54,25.01365089999999,121.5349726
台式/小吃,小吃,ChIJ0Svl4YqpQjQRXuxuaWVpUHE,佳興福州魚丸店,100台灣台北市中正區汀州路三段243號,02 2368 3757,3.4,null,https://maps.google.com/?cid=8165142008704199774,328,25.0138466,121.5341162
台式/小吃,小吃,ChIJZwBEwoqpQjQR03u0Qvnj9zg,劉記古早味蔥蛋餅蜜地瓜,100台灣台北市中正區羅斯福路四段108巷2-3號,null,4.2,null,https://maps.google.com/?cid=4105000245076982739,271,25.0134733,121.5354339
台式/小吃,小吃,ChIJuQYlDIupQjQRTePyZpJvZ_U,珍記豬血糕,100台灣台北市中正區羅斯福路四段24巷12弄12號,02 2368 0676,4.2,null,https://maps.google.com/?cid=17683225136476644173,154,25.0147502,121.5330064
台式/小吃,小吃,ChIJRVYUoYupQjQRjjrI_CDS0SQ,香港泉記小吃館,100台灣台北市中正區羅斯福路四段24巷12弄3號,02 2367 2395,4.1,null,https://maps.google.com/?cid=2653132694619699854,270,25.0149453,121.532779
台式/小吃,小吃,ChIJLWeCx4qpQjQRTJ-ObcN700g,小李豬血糕,100台灣台北市中正區羅斯福路四段136巷1-3號,02 2368 3417,3.7,null,https://maps.google.com/?cid=5247674070103662412,93,25.0127717,121.535585
台式/小吃,小吃,ChIJ5zYUBYupQjQRcfnnGtSorNs,得記麻辣脆皮臭豆腐,100台灣台北市中正區羅斯福路四段52巷16弄4號,02 2364 9616,4.1,null,https://maps.google.com/?cid=15829212419238394225,992,25.0144218,121.5337272
台式/小吃,小吃,ChIJD5QDLh6qQjQRTebziM2ASrk,NO68小吃館,116台灣台北市文山區羅斯福路五段68號,02 8942 2107,null,null,https://maps.google.com/?cid=13351625665547593293,null,25.008412,121.537696
台式/小吃,炒飯,ChIJ4_gu74qpQjQRSEOje3P3-mE,水源食坊-不一樣炒飯,100台灣台北市中正區羅斯福路四段92號,0903 339 377,4.4,null,https://maps.google.com/?cid=7060227441224270664,153,25.0137225,121.5349803
台式/小吃,炒飯,ChIJ3dDD6IqpQjQRucuudqWtJoM,狠台 台式炒飯炒麵,100台灣台北市中正區羅斯福路四段92號中正 區 水源 市場 15 號 攤位,0936 458 818,4.4,null,https://maps.google.com/?cid=9450431794255940537,46,25.0136508,121.5349726
台式/小吃,炒飯,ChIJjRUEDg-pQjQRsOnRPfyaji4,油夠飯濺 炒飯店,100台灣台北市中正區羅斯福路三段286巷14號,02 2368 2582,4,null,https://maps.google.com/?cid=3354789180597201328,26,25.0159309,121.532329
台式/小吃,炒飯,ChIJ_fgu74qpQjQRSOvT-G7mkdI,龍記炒燴,100台灣台北市中正區羅斯福路四段92號第32攤,02 2369 1219,4.4,null,https://maps.google.com/?cid=15173161983883340616,277,25.0135167,121.5347445
台式/小吃,炒飯,ChIJRVYUoYupQjQRjjrI_CDS0SQ,香港泉記小吃館,100台灣台北市中正區羅斯福路四段24巷12弄3號,02 2367 2395,4.1,null,https://maps.google.com/?cid=2653132694619699854,270,25.0149453,121.532779
台式/小吃,炒飯,ChIJ_fgu74qpQjQRup_fjb1ntWE,祥記號美食小吃,"100台灣台北市中正區羅斯福路四段92號1號攤位, 水源市場樓號 62號",02 2367 0077,3.9,null,https://maps.google.com/?cid=7040647656290361274,466,25.0135434,121.534772
台式/小吃,炒飯,ChIJySfUe4ypQjQRgoVeUgYjZrI,香鄉麵食館,100台灣台北市中正區汀州路三段133號,02 2367 6490,3.8,null,https://maps.google.com/?cid=12855000696434361730,260,25.0161643,121.5309374
台式/小吃,炒飯,ChIJ2y44g4upQjQRUyE9HmNk1ZY,香港亨記(公館店),100台灣台北市中正區羅斯福路三段316巷9弄4號,02 2368 9227,3.8,null,https://maps.google.com/?cid=10868703652600422739,740,25.0156648,121.5319585
日式料理,日式料理,ChIJow645DKpQjQR7WPDEWVFqco,心KOKORO食堂/台北日式料理/公館美食/公館小吃/公館餐廳/公館日式料理/公館壽司,100台灣台北市中正區汀州路三段104巷11弄15號一樓,0907 734 268,4.3,null,https://maps.google.com/?cid=14603279567117575149,125,25.013465,121.533821
日式料理,日式料理,ChIJfYm9wYupQjQR0EZq7Pq77n8,平山家日式料理,106台灣台北市大安區新生南路三段106號3樓之1,02 2369 9017,4,null,https://maps.google.com/?cid=9218512173656590032,148,25.016792,121.532835
日式料理,日式料理,ChIJ1_cMg4upQjQRNORaeNLcO_8,赤神日式豬排公館店,100台灣台北市中正區羅斯福路三段286巷4弄14號,02 2368 6511,4.2,null,https://maps.google.com/?cid=18391536299818017844,1575,25.01579409999999,121.5318107
日式料理,日式料理,ChIJm9Pm4oqpQjQRDV5mvDLTn_k,幸好沒錯過你 Master K. 公館-排隊巷弄美食 隱藏日式料理(人氣必吃),100台灣台北市中正區羅斯福路四段78巷1弄5號,02 2368 0983,4,null,https://maps.google.com/?cid=17987327651603701261,1048,25.014114,121.5343
日式料理,日式料理,ChIJ0z6TUYmpQjQR4H4LvJsT1I4,蓮花日式料理(台大店),106台灣台北市大安區羅斯福路三段283巷22號,null,null,null,https://maps.google.com/?cid=10291872608044154592,null,25.0187405,121.5317817
日式料理,日式料理,ChIJJQBpS_WpQjQR1QUnsPcIhwY,狗一下居酒食堂-公館店,100台灣台北市中正區汀州路三段271號,02 2367 0860,4.3,null,https://maps.google.com/?cid=470354545988797909,1899,25.0125,121.5354449
日式料理,日式料理,ChIJkemjkoupQjQR0-1kiS9Pu-g,GINDACO築地(台灣公館店),100台灣中正區台北市 中正區羅斯福路三段276號,null,null,null,https://maps.google.com/?cid=16770084703031324115,null,25.016667,121.532031
日式料理,日式料理,ChIJvVwtAIypQjQR9zeQpfeQjUg,小原田 公館店,106台灣台北市大安區羅斯福路三段277號2F,02 2366 1869,4.5,null,https://maps.google.com/?cid=5227994135756027895,988,25.0182433,121.5311009
日式料理,日式料理,ChIJi61r0NipQjQRk-o8hSk5oG8,丼壽司,100台灣台北市中正區汀州路三段165號一樓,02 2368 1323,4.4,null,https://maps.google.com/?cid=8043491784975510163,68,25.0152949,121.532295
韓式料理,韓式料理,ChIJVVVVVRWsQjQRmPdlBQr3qys,小飯館兒,100台灣台北市中正區,02 2369 8800,4.1,null,https://maps.google.com/?cid=3146880387060725656,1988,25.0121889,121.5354306
韓式料理,韓式料理,ChIJT2ATg4upQjQRsuHtuX_giws,韓江館銅盤烤肉,100台灣台北市中正區羅斯福路三段316巷9弄6號,02 2369 9688,3.4,null,https://maps.google.com/?cid=832005395364831666,627,25.0156841,121.5319138
韓式料理,韓式料理,ChIJQ58t3IqpQjQRpGtxc8kfAAM,首爾之星 Korean Food Express,100台灣台北市中正區汀州路三段168號,02 2362 6966,3.4,null,https://maps.google.com/?cid=216207732199484324,847,25.0133138,121.5345418
韓式料理,韓式料理,ChIJB5Ima4mpQjQRB3RV3z1H820,韓庭州韓國料理,106台灣台北市大安區溫州街87號,02 8369 1302,3.7,null,https://maps.google.com/?cid=7922754500540331015,1088,25.019137,121.53294
韓式料理,韓式料理,ChIJFzzD4oqpQjQRQhKQwn4ydLM,韓天閣,100台灣台北市中正區羅斯福路四段78巷1弄15號,02 2368 0788,3.9,null,https://maps.google.com/?cid=12931015950099026498,777,25.0142683,121.5340432
韓式料理,韓式料理,ChIJ_4UUh4upQjQRrLM2RIXgA3Q,首爾之家,100台灣台北市中正區羅斯福路三段244巷10弄14號,02 2368 1900,3.9,null,https://maps.google.com/?cid=8359772196309480364,680,25.0160129,121.531374
韓式料理,韓式料理,ChIJPXPKPuypQjQR08RUkkTgw3U,華克山莊-韓式料理,106台灣台北市大安區舟山路280巷,null,null,null,https://maps.google.com/?cid=8485872708013573331,null,25.014993,121.534949
