西式/美式,義大利麵,ChIJM7TkUo-pQjQRjgS-tZAS4mo,堤香義大利麵,"從大學吃到現在的優質好店，麵條彈牙不死硬，調味配料都很新鮮美味；非常感謝老闆娘香香阿姨還特別有做吃素的餐點，最愛素食咖喱/奶汁菌菇、素食玻璃麵。

吃完麵後剩下的湯汁拿去沾剛烤好的吐司，一面有可口的調味搭配上另一面酥脆的口感，堪稱完美空盤就是對店家手藝最高的致敬

謝謝老闆娘和老闆堅持給客人最好的品質，來師大必吃的好店","堤香在泰順街的新民小學附近的巷內，算是價格親民的義大利麵店，麵量足夠吐司和紅茶自助式可自取，＄＄120～140左右。

若要省荷包又要吃得飽，可以。但美味度就不能太期待了，尚可而已。

用餐區有一樓及B1，但1樓較為舒適。內部裝潢有鄉村樸實風，簡單舒適",生意很好，麵量很大，個人覺得口味中規中矩，沒有特別讓人驚艷的地方。,"土司吃到飽，義大利麵水準尚可
吃飽絕對沒問題
口味就一般般","蒜香培根在同價位區間沒有對手
不要輕易加辣，小辣就是大辣..."
西式/美式,義大利麵,ChIJn2WTm4-pQjQRRGJXeooRB-4,瑪琪朵義式廚房,味道普通，等了快一小時，很閒的人再來吃吧,離家不遠，還沒有親自品嚐，期待有機會嚐嚐。,"餐點非常有水準
服務就一般般",商業午餐還滿便宜的，生意很好，濃湯非常好喝！,"+60元升級套餐 有飲料.甜點.沙拉.湯
Cp值算高，餐點味道普通。"
西式/美式,義大利麵,ChIJNfAt5MSrQjQR-Z8NpMSCkjk,POST霞飛驛歐法點餐,"為了螺旋酥皮而來
但跟板橋霸。跟永和阿。比較沒有那麼香酥脆跟麵皮的甜，玉米濃湯意外地算還不錯，馬鈴薯很入口即化。附的麵包比想像中小，不熱不很脆，海鮮義大利麵蝦子不是帶殼鮮蝦，內容物有2蝦3蚌殼2魚肉2花枝圈還有綠花椰跟蘑菇，免費加麵很飽，麵Q口感不錯，外面吃不太到。店員們忙但會給予即時回應，謝謝店員們的認真！！！但真的太忙飲料一開始說要先上，說了3次還是最後一道才上，焦糖布丁的部分布丁冰的跟溫焦糖吃起來口感比較不融合，算還可以。生意好，比較吵雜不適合久坐，可刷卡很方便，洗手間乾淨，但比較少間男女各一沒分間。奶茶真的像之前評論的。。。很淡，有苦味，不甜。",主餐以義大利麵為主。單點價位180-300多不等。加套餐基本上就是加100。可以選湯、甜點、飲料，隨餐還會附餐前麵包。這次點的是紅白醬蛤蜊義大利麵（套餐310元無服務費），免費加麵1/3坨，份量很足夠，蛤蜊的數量也很多。湯品是酥皮濃湯，酥皮意外精緻；濃湯本身很普通，屬於平價等級（勾芡麵粉那種）。飲料我點冰奶茶，明顯是立頓粉包加冰塊泡的，不算太水，但嚐到熟悉的立頓味時還是小失望；甜點提拉米蘇份量偏少，不過吃起來還不錯。整體而言300塊可以吃到算滿足豐富的套餐，個人覺得很划算，特別以台北的物價而言，雖然各項餐點都不能稱上非常驚艷，但都各有吸引人的地方，價位更是一大加分的點（批評太貴的人我是覺得要不要看一下這裡是哪裡哈哈，台北市大安區耶）,"義大利麵和焗麵的表現都很出色
份量也很多
最喜歡的是酥皮濃湯，皮很脆

但酥皮鮭魚的這個沙拉讓我扣一顆星
覺得菜、鮭魚、皮沒有和諧
鮭魚的調味也不喜歡

服務很即時，推薦",酥皮濃湯（螺旋酥皮啵棒）、奶油燻鮭義大利麵（醬口味讚量偏多 燻鮭香 麵量足可再硬一點 但已算台北好吃）,價格對學生來說小貴，但是絕對值得，從特別的酥皮濃湯餅皮到香味四溢的白醬和焗烤都讓人回味無窮！！
西式/美式,義大利麵,ChIJXbirD4mpQjQRIaUprnvvILw,Pasta 2 Go,"這次想來吃的時候，已變成立食的義大利麵，
看到店家貼的公告之後也明白原因，
但看到google評價很好，所有餐點價格也很平價，
而且當時也有點餓了，想說還是來吃看看，
第一次要站著吃義大利麵也挺新鮮的，
老闆娘很好客感覺人很好，點餐不會有壓力，
稍等一會義大利麵很快就送來了，不會等很久，
白醬培根義大利麵味道不錯，麵也煮的剛好，
醬的味道也不會過鹹，還灑了起司粉和切丁的蔬菜，
整體來說很好吃，確實不輸給一般的餐廳。
雖然當時還不是晚餐時間，但抬頭一看，
旁邊也有些客人在等外帶或是一樣站著吃，
就算沒了椅子坐，店家生意也還是不錯的，
下次有機會還想試試其他口味的義大利麵。","超喜歡的平價義大利麵！用料實在！麵條的口感軟硬適中
看到屢次被惡意攻擊的評論實在替店家感到不平！
用滿滿五顆星表達支持！！！♂","每份100元的義大利麵，卻吃得出老闆的用心。

醬汁非常濃郁，可以媲美200以上的義麵。燻雞給得非常大方，吃奶油燻雞麵不怕不夠配料。另外，加麵加起司加辣都是免費的，連我這個吃貨都吃得飽。

現在還有免費飲料可以喝，連免費飲料也有相當濃郁的茶味。

真的非常用心的一間好店。如果能接受立食或外帶的話非常推薦。","超道地超好吃，用料不手軟、加大免費！
吃過最划算的平價義大利麵，口味一點也不馬虎，海放公館商圈所有其他義大利麵！
（大學4年愛店，不知道為麼有人說他水w)","平價的美味義大利麵
意外路過而發現
大大的滿足
感覺老闆娘用滿滿的愛在做生意
雖然沒有內用位子
但天氣好坐外面吃
也是別有一番風味
如果紅茶可以再減糖ㄧ些
就更完美了"
西式/美式,義大利麵,ChIJgWY_hIupQjQRX-bmeNK-b2c,首都烘焙餐廳-公館店,接待親切，餐點健康的餐廳。,東西好吃份量足，用料實在價錢公道，而且不收服務費，讚,"Well...不要點咖哩系列...
從來沒吃過印度咖喱吃起來像嬰兒泥狀食品...
而且味道很淡...
可能別的品項會好一點（希望）
環境是不錯但我是不會再來嚕～","用料超實在！！！不怕羊味的很推薦他的羊肉咖哩！
雖然分義式和美式披薩，但美式的餅皮也偏薄皮，上面鋪滿食材，搭配淡淡的麥香完全命中自己的喜好～然後冰沙是現打的喔～
巧克力冰淇淋很順口，不會死甜，感覺沒什麼添加物，吃起來沒有負擔。","188的商業午餐
有濃湯、沙拉跟主餐
可以吃的很飽（●）ノ
服務生也很親切
一開始在外面看菜單也有人出來跟我們介紹
推推：）"
西式/美式,義大利麵,ChIJswp0NJCpQjQRXCIZhrkhW7E,MiSTA House,小店氣氛很溫馨，空間不大桌位有限，餐點能自由搭配，有薑黃飯及筆管麵選擇，千層麵風味很好，好吃但份量比較少，焗烤白醬薑黃飯的白醬風味好吃不膩，只是薑黃飯的氣味不足，店裡服務人員超級親切,"只賣焗烤～小小溫馨的店，牆上藏有小公仔很可愛～
女生店員非常客氣。廁所很乾淨。
價錢合理，還附湯和小菜。
口味中等。店內吵雜。",焗烤簡餐還不錯，服務人員很親切，份量沒有大小，男生應該吃不飽耶！,"很可愛的一家店，店內的擺設很有巧思，住在角落的寵物青蛙也很療癒。

這次是吃羅勒牛肉+白醬+筆管麵，份量整個剛剛好，有吃飽，口味好吃而且不膩。

焗烤裡面就如字面上「羅勒牛肉+白醬+筆管麵」，裡面沒有其他青菜或配料，如果喜歡單一口味的人應該會滿喜歡的。

如果以後可以加價加配料進去，馬鈴薯、花椰菜、蘑菇、青紅椒等等，整體的口感和美味程度應該會再提升，變得更有層次。",醬料及主菜主食是分別點，再去作焗烤！主食有薑黃飯及筆管麵兩種。青醬要多20元！點了蒜香羊肉配青醬，附番茄蔬菜湯、兩碟小菜！青醬味道濃郁但有清爽口味！價格不貴，環境乾淨整潔，服務態度良好，值得一試！
西式/美式,義大利麵,ChIJW9xpdYqpQjQR4NsbXo2VHmc,帕兔,熱壓吐司和厚片皆滿划算亦好吃，義大利麵份量稍少，口味倒也不錯,環境還不錯,大推義大利麵加蛋跟香蕉芋頭厚片 CP值高,"原來夾堡就是烤土司阿
鮪魚起司口味加蛋 $50 配料略少 CP偏低",就味道還好但跟旁邊原典可以解決一餐
日式料理,咖哩,ChIJQ58t3IqpQjQRnudJ2hZIctM,狂愛咖哩 Just Love Curry,"咖哩跟味噌湯都很稀，沒有馬鈴薯，有少少紅蘿蔔碎。
用餐時間限制1小時，明明空位多卻強制併桌。
說假日人多，但沒有人排隊也沒有人訂位
吃掉最後一口，馬上把我桌面清空，讓我們有種必須馬上滾的感受。
整體用餐體驗極差！！！","連一顆星都不想給
咖哩挺稀，炸雞腿的品質也不佳
食物不好吃就算了，服務態度亦差！結帳時算很多次錢都算錯，甚至態度很差的質疑客人少給錢，最後發現自己算錯後仍理直氣壯，一句不好意思或道歉都沒有，感覺超差！","除了 炸蝦沒剝殼、咖喱很水不濃郁、飯又硬又乾、味噌湯沒味道、咖喱中的青菜不新鮮以外，飲料的部分不錯。
誠心推薦這間店，對面7-11的蒙特婁咖喱。",點了水波蛋，但來的根本是水煮蛋。還問了店員確認水波蛋的蛋黃應該是全熟的嗎？店員只說不好意思因為煮的時候火開太大了，就繼續去忙他的了，有點傻眼。,"冷氣開超強
咖哩端出來沒有很熱偏冷
加上冷氣一吹我以為我在吃冷凍食品
炸蝦沒撥殼 咬下去直接刺到
真的想吃咖哩建議去對面7-11買"
日式料理,咖哩,ChIJq4CrE4mpQjQRJPnkytgaWVI,稻咖哩,"-
《稻咖哩》

飯量上很貼心的提供
「少飯210g」與「正常285g」的兩種選擇

各款咖哩飯搭配的咖哩醬汁各有特色
價錢平價CP值高

 #招牌橫濱直火牛肉咖哩 $150

半熟太陽蛋配飯最讚了

牛肉採用牛腩肉約4、5塊
軟嫩多汁帶點咬勁
非常好吃!超喜歡！

#半熟太陽蛋 +$20

 #炙燒起司烤豚肉咖哩 $150

咖哩口味微微甜味

豬肉選用的是油花豐厚的三層肉
刷上蜜醬後再鋪商起司片烘烤

肉質軟嫩外表烤得焦脆
味道甜甜的

再搭上香濃的起司片
味道層次豐富又美味

-
IG：@yummy_food1997","主觀上，完全感受不到評論裡面高評價的美味，咖哩味道很膩又過於搶位，墨魚的味道太腥整個淹沒味覺，最後受不了吃到剩照片這樣就走了。
不知道是不是店家換了配方還什麼的，總之個人跟朋友感受很差，我們要去買飲料換個味道了....","牛肉咖哩 整體還說還不錯，但我本身喜歡吃蔬菜，希望可以增加加點蔬菜的選項。

“姆淇淋四顆星”",點了咖哩牛，還有吃到晚上限定的黑咖哩豬，很美味，咖哩很多不會不夠沾，白飯也很好吃。,"好吃好吃牛肉超級嫩
飯的濕氣也蠻剛好 吃不夠可以選量多
就是稍稍貴了一點不過偶爾吃ok的"
日式料理,咖哩,ChIJYW1dk-upQjQRbFzQRmjRGLQ,寶貝咖哩 Treasure Curry 日本湯咖哩,新鮮蔬菜滿多的，咖喱味道新鮮，推推,店內乾淨明亮，東西好吃，麵很特別，小朋友很喜歡！,咖哩好吃，味道很夠！,有滿滿蔬菜的湯咖哩飯 好吃,份量適中、便宜新鮮好吃
日式料理,咖哩,ChIJB1avwF2pQjQRKfuOW99lGHY,NoName無名咖哩 台大店,牛肉軟嫩，雞肉大又嫩，推,這是我吃過最好吃的咖哩,好吃但今天飯太硬,牛肉咖喱跟雞肉咖哩都很,牛肉咖哩真材實料
